ACACOYAGUA,ACAPETAHUA,CACAHOATAN,ESCUINTLA,HUIXTLA,MAPASTEPEC,SUCHIATE,TUXTLA CHICO,UNION JUAREZ
0.0,9.0,103.0,3.0,34.0,30.0,113.0,92.0,127.0
9.0,0.0,106.0,6.0,37.0,39.0,116.0,95.0,130.0
103.0,106.0,0.0,100.0,69.0,133.0,44.0,5.0,24.0
3.0,6.0,100.0,0.0,31.0,33.0,110.0,89.0,124.0
34.0,37.0,69.0,31.0,0.0,64.0,79.0,58.0,93.0
30.0,39.0,133.0,33.0,64.0,0.0,143.0,228.0,157.0
113.0,116.0,44.0,110.0,79.0,143.0,0.0,33.0,68.0
92.0,95.0,5.0,89.0,58.0,228.0,33.0,0.0,22.0
127.0,130.0,24.0,124.0,93.0,157.0,68.0,22.0,0.0
